Retail_ID,Country,Latitude,Longitude,Population,Last_updated
1,Korea,"37°30'N","127°00'E",51446201,2017-07-01
2,United States,"38°55'N","77°00'W",327140000,2018-02-05
3,China,"39°55'N","116°45'E",1388021000,2018-02-05
4,Brazil,"15°45'S","47°57'W",208594000,2018-02-05
5,Canada,"45°25'N","75°43'W",37008800,2018-02-05
6,Belgium,"50°50'N","04°21'E",11399335,2017-12-01
7,Denmark,"55°43'N","12°34'E",5659715,0001-01-01
8,Finland,"60°08'N","25°00'E",5250275,0001-01-01
9,France,"48°52'N","02°20'E",67201000,2017-12-01
10,Germany,"52°32'N","13°25'E",82521653,2016-12-31
11,Italy,"41°53'N","12°30'E",60498707,2107-09-30
12,Japan,"35°41'N","139°46'E",126590000,2018-01-01
13,Australia,"35°18'S","149°08'E",24801900,2018-02-05
14,Mexico,"19°25'N","99°10'W",123675350,2017-10-01
15,Netherlands,"52°21'N","04°54'E",17194000,2018-02-05
16,Singapore,"01°22'N","103°48'E",4657547,0001-01-01
17,Spain,"40°25'N","03°43'W",46549045,2017-07-01
18,Sweden,"59°20'N","18°05'E",10112669,2017-11-30
19,Switzerland,"46°57'N","07°26'E",7604467,0001-01-01
20,United Kingdom,"51°30'N","00°10'W",65648000,2015-06-01
21,Austria,"48°13'N","16°22'E",8210281,0001-01-01
